id,retailer_id,offer_id
1,1,1724
2,2,1724
3,3,1724
4,4,1724
5,5,1724
6,12,1724
7,28,1724
8,32,1724
9,34,1724
10,35,1724
11,46,1724
12,47,1724
13,48,1724
14,99,1724
15,154,1724
16,1,1895
17,2,1895
18,3,1895
19,3,1895
20,4,1895
21,4,1895
22,5,1895
23,5,1895
24,12,1895
25,28,1895
26,32,1895
27,34,1895
28,35,1895
29,46,1895
30,46,1895
31,47,1895
32,47,1895
33,48,1895
34,93,1895
35,94,1895
36,99,1895
37,154,1895
38,1,1932
39,2,1932
40,3,1932
41,3,1932
42,4,1932
43,4,1932
44,5,1932
45,5,1932
46,12,1932
47,28,1932
48,32,1932
49,34,1932
50,35,1932
51,46,1932
52,46,1932
53,47,1932
54,47,1932
55,48,1932
56,93,1932
57,94,1932
58,99,1932
59,154,1932
60,1,2185
61,2,2185
62,3,2185
63,4,2185
64,5,2185
65,12,2185
66,28,2185
67,32,2185
68,34,2185
69,35,2185
70,46,2185
71,47,2185
72,48,2185
73,99,2185
74,154,2185
75,1,2368
76,2,2368
77,3,2368
78,4,2368
79,5,2368
80,12,2368
81,28,2368
82,32,2368
83,34,2368
84,35,2368
85,46,2368
86,47,2368
87,48,2368
88,99,2368
89,154,2368
90,1,2369
91,2,2369
92,3,2369
93,4,2369
94,5,2369
95,12,2369
96,28,2369
97,32,2369
98,34,2369
99,35,2369
100,46,2369
101,47,2369
102,48,2369
103,99,2369
104,154,2369
105,1,2480
106,3,2480
107,4,2480
108,46,2480
109,47,2480
110,48,2480
111,82,2480
112,83,2480
113,1,2481
114,3,2481
115,4,2481
116,46,2481
117,47,2481
118,48,2481
119,82,2481
120,83,2481
121,1,2482
122,3,2482
123,4,2482
124,46,2482
125,47,2482
126,48,2482
127,82,2482
128,83,2482
129,1,2508
130,2,2508
131,3,2508
132,4,2508
133,4,2508
134,5,2508
135,12,2508
136,28,2508
137,32,2508
138,34,2508
139,35,2508
140,46,2508
141,47,2508
142,48,2508
143,79,2508
144,80,2508
145,99,2508
146,154,2508
147,1,2509
148,2,2509
149,3,2509
150,4,2509
151,4,2509
152,5,2509
153,12,2509
154,28,2509
155,32,2509
156,34,2509
157,35,2509
158,46,2509
159,47,2509
160,48,2509
161,79,2509
162,80,2509
163,99,2509
164,154,2509
165,1,2651
166,2,2651
167,3,2651
168,4,2651
169,5,2651
170,12,2651
171,28,2651
172,32,2651
173,34,2651
174,35,2651
175,46,2651
176,47,2651
177,48,2651
178,99,2651
179,154,2651
180,3,2791
181,4,2791
182,34,2791
183,84,2791
184,85,2880
185,86,2880
186,87,2880
187,88,2880
188,91,2880
189,92,2880
190,1,2893
191,2,2893
192,3,2893
193,4,2893
194,5,2893
195,12,2893
196,28,2893
197,32,2893
198,34,2893
199,35,2893
200,46,2893
201,47,2893
202,48,2893
203,99,2893
204,154,2893
205,1,2904
206,2,2904
207,3,2904
208,4,2904
209,4,2904
210,5,2904
211,12,2904
212,28,2904
213,32,2904
214,34,2904
215,35,2904
216,46,2904
217,47,2904
218,48,2904
219,79,2904
220,80,2904
221,99,2904
222,154,2904
