"id","name"
106,"Subway"
4,"Walmart"
2,"Safeway"
75,"Burger King"
115,"Quiznos"
5,"Walgreens"
1,"King Soopers"
28,"7-Eleven"
85,"AMC Box Office"
86,"AMC Concessions"
82,"PetSmart"
3,"Target"
109,"GNC"
108,"Noodles & Company"
80,"Lowe's"
137,"Five Guys"
105,"Qdoba"
104,"Chipotle"
97,"Panera Bread"
78,"Chili's"
79,"Home Depot"
93,"Toys R Us"
157,"Aeropostale"
84,"Best Buy"
100,"Jamba Juice"
99,"Sprouts Farmers Market"
83,"Petco"
57,"Smashburger"
48,"Whole Foods"
116,"Einstein Bros Bagels"
91,"United Artists Box Office"
92,"United Artists Concessions"
153,"Mimi's Cafe"
46,"Costco"
94,"Babies R Us"
47,"Sam's Club"
138,"TGI Fridays"
12,"Rite Aid"
87,"Regal Box Office"
88,"Regal Concessions"
121,"Boston Market"
35,"Family Dollar"
154,"Whole Foods Colorado"
32,"Military Commissary"
76,"Arby's"
81,"Pizza Hut"
112,"Amazon.com"
101,"Amazon Appstore"
34,"Dollar General"
